Sveitarfélag	Aldur	Ár	Kyn	Mannfjöldi eftir sveitarfélagi, kyni og aldri 1. janúar 1998-2024
Árneshreppur	Alls	2009	Alls	49
Árneshreppur	Alls	2010	Alls	50
Árneshreppur	Alls	2011	Alls	52
Árneshreppur	Alls	2012	Alls	52
Árneshreppur	Alls	2013	Alls	54
Árneshreppur	Alls	2014	Alls	52
Árneshreppur	Alls	2015	Alls	54
Árneshreppur	Alls	2016	Alls	55
Árneshreppur	Alls	2017	Alls	46
Árneshreppur	Alls	2018	Alls	42
Árneshreppur	Alls	2019	Alls	40
Árneshreppur	Alls	2020	Alls	43
Árneshreppur	Alls	2021	Alls	41
Árneshreppur	Alls	2022	Alls	40
Árneshreppur	Alls	2023	Alls	47
Árneshreppur	Alls	2024	Alls	53
Kaldrananeshreppur	Alls	2006	Alls	112
Kaldrananeshreppur	Alls	2007	Alls	101
Kaldrananeshreppur	Alls	2008	Alls	103
Kaldrananeshreppur	Alls	2009	Alls	110
Kaldrananeshreppur	Alls	2010	Alls	112
Kaldrananeshreppur	Alls	2011	Alls	104
Kaldrananeshreppur	Alls	2012	Alls	101
Kaldrananeshreppur	Alls	2013	Alls	100
Kaldrananeshreppur	Alls	2014	Alls	104
Kaldrananeshreppur	Alls	2015	Alls	111
Kaldrananeshreppur	Alls	2016	Alls	103
Kaldrananeshreppur	Alls	2017	Alls	106
Kaldrananeshreppur	Alls	2018	Alls	109
Kaldrananeshreppur	Alls	2019	Alls	102
Kaldrananeshreppur	Alls	2020	Alls	103
Kaldrananeshreppur	Alls	2021	Alls	108
Kaldrananeshreppur	Alls	2022	Alls	106
Kaldrananeshreppur	Alls	2023	Alls	113
Kaldrananeshreppur	Alls	2024	Alls	104
Strandabyggð	Alls	2006	Alls	499
Strandabyggð	Alls	2007	Alls	507
Strandabyggð	Alls	2008	Alls	499
Strandabyggð	Alls	2009	Alls	490
Strandabyggð	Alls	2010	Alls	508
Strandabyggð	Alls	2011	Alls	495
Strandabyggð	Alls	2012	Alls	511
Strandabyggð	Alls	2013	Alls	511
Strandabyggð	Alls	2014	Alls	503
Strandabyggð	Alls	2015	Alls	468
Strandabyggð	Alls	2016	Alls	459
Strandabyggð	Alls	2017	Alls	461
Strandabyggð	Alls	2018	Alls	443
Strandabyggð	Alls	2019	Alls	434
Strandabyggð	Alls	2020	Alls	436
Strandabyggð	Alls	2021	Alls	418
Strandabyggð	Alls	2022	Alls	406
Strandabyggð	Alls	2023	Alls	412
Strandabyggð	Alls	2024	Alls	414
Húnaþing vestra	Alls	2006	Alls	1279
Húnaþing vestra	Alls	2007	Alls	1267
Húnaþing vestra	Alls	2008	Alls	1253
Húnaþing vestra	Alls	2009	Alls	1245
Húnaþing vestra	Alls	2010	Alls	1212
