sveitarfel,year,property_type,total_price,total_area,average_price_per_sqm
Vesturbyggð,2022,Sérbýli,40000,130,307.6923076923077
Vesturbyggð,2023,Einbýli,60000,239,251.0460251046025
Vesturbyggð,2023,Fjölbýli,35000,110,318.1818181818182
Vesturbyggð,2024,Einbýli,31000,124,250
Vopnafjarðarhreppur,2008,Annað,73480,82,896.0975609756098
Vopnafjarðarhreppur,2021,Sérbýli,104996,268,391.7761194029851
Árneshreppur,2021,Annað,77500,308,251.62337662337663
Ásahreppur,2007,Annað,3200,12,266.6666666666667
Ásahreppur,2019,Sumarhús,21000,47,446.8085106382979
Ásahreppur,2020,Sumarhús,18500,55,336.3636363636364
Ásahreppur,2021,Sumarhús,24000,55,436.3636363636364
Ásahreppur,2022,Einbýli,78000,222,351.35135135135135
Ísafjarðarbær,2014,Sumarhús,15300,66,231.8181818181818
Ísafjarðarbær,2017,Sumarhús,5500,24,229.16666666666666
Ísafjarðarbær,2018,Fjölbýli,37200,169,220.11834319526628
Ísafjarðarbær,2019,Fjölbýli,12500,55,227.27272727272728
Ísafjarðarbær,2019,Sérbýli,23900,118,202.54237288135593
Ísafjarðarbær,2020,Einbýli,230000,970,237.11340206185568
Ísafjarðarbær,2020,Fjölbýli,66000,184,358.69565217391306
Ísafjarðarbær,2021,Atvinnuhúsnæði,550000,1462,376.1969904240766
Ísafjarðarbær,2021,Einbýli,186300,710,262.3943661971831
Ísafjarðarbær,2021,Fjölbýli,82400,328,251.21951219512195
Ísafjarðarbær,2021,Sumarhús,27000,99,272.72727272727275
Ísafjarðarbær,2021,Sérbýli,28600,118,242.3728813559322
Ísafjarðarbær,2022,Fjölbýli,160200,620,258.38709677419354
Ísafjarðarbær,2022,Sumarhús,23900,66,362.1212121212121
Ísafjarðarbær,2023,Einbýli,148300,559,265.29516994633275
Ísafjarðarbær,2023,Fjölbýli,146120,359,407.0194986072423
Ísafjarðarbær,2024,Einbýli,170000,573,296.68411867364745
Ísafjarðarbær,2024,Fjölbýli,128200,385,332.987012987013
Ísafjarðarbær,2024,Sumarhús,173500,355,488.7323943661972
Ísafjarðarbær,2024,Sérbýli,55000,214,257.0093457943925
Þingeyjarsveit,2014,Sumarhús,3600,15,240
Þingeyjarsveit,2016,Sumarhús,9500,41,231.70731707317074
Þingeyjarsveit,2017,Sumarhús,17000,58,293.1034482758621
Þingeyjarsveit,2018,Einbýli,18500,80,231.25
Þingeyjarsveit,2018,Sumarhús,34800,109,319.26605504587155
Þingeyjarsveit,2019,Sérbýli,124500,109,1142.2018348623853
Þingeyjarsveit,2021,Einbýli,19400,86,225.58139534883722
Þingeyjarsveit,2021,Sumarhús,64600,157,411.4649681528662
Þingeyjarsveit,2022,Einbýli,34000,113,300.88495575221236
Þingeyjarsveit,2022,Sumarhús,57000,106,537.7358490566038
Þingeyjarsveit,2023,Einbýli,40000,119,336.1344537815126
Þingeyjarsveit,2023,Sumarhús,21350,44,485.22727272727275
Þingeyjarsveit,2024,Einbýli,48000,144,333.3333333333333
